symbol,Date,Close,High,low,Open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2016-05-18 00:00:00+00:00,94.56,95.21,93.89,94.16,42062391,22.08103163,22.23281537,21.92457762,21.98762625,168249564,0,1
AAPL,2016-05-19 00:00:00+00:00,94.2,94.64,93.57,94.64,30442100,21.99696679,22.09971271,21.84985332,22.09971271,121768400,0,1
AAPL,2016-05-20 00:00:00+00:00,95.22,95.43,94.52,94.64,32025968,22.23515051,22.28418833,22.07169109,22.09971271,128103872,0,1
AAPL,2016-05-23 00:00:00+00:00,96.43,97.19,95.67,95.87,38018643,22.51770178,22.695172,22.34023156,22.38693425,152074572,0,1
AAPL,2016-05-24 00:00:00+00:00,97.9,98.09,96.84,97.22,35140174,22.86096655,22.9053341,22.61344229,22.7021774,140560696,0,1
AAPL,2016-05-25 00:00:00+00:00,99.62,99.74,98.11,98.67,38642108,23.26260968,23.29063129,22.91000437,23.0407719,154568432,0,1
AAPL,2016-05-26 00:00:00+00:00,100.41,100.73,98.64,99.68,56331159,23.4470853,23.5218096,23.0337665,23.27662048,225324636,0,1
AAPL,2016-05-27 00:00:00+00:00,100.35,100.47,99.245,99.44,36341240,23.43307449,23.46109611,23.17504213,23.22057726,145364960,0,1
AAPL,2016-05-31 00:00:00+00:00,99.86,100.4,98.82,99.6,42307212,23.3186529,23.44475017,23.07579892,23.25793941,169228848,0,1
AAPL,2016-06-01 00:00:00+00:00,98.46,99.54,98.33,99.02,29173285,22.99173408,23.2439286,22.96137733,23.12250161,116693140,0,1
AAPL,2016-06-02 00:00:00+00:00,97.72,97.84,96.63,97.6,40191600,22.81893413,22.84695574,22.56440447,22.79091251,160766400,0,1
AAPL,2016-06-03 00:00:00+00:00,97.92,98.27,97.45,97.79,28504888,22.86563682,22.94736652,22.75588549,22.83528007,114019552,0,1
AAPL,2016-06-06 00:00:00+00:00,98.63,101.89,97.55,97.99,23292504,23.03143136,23.7926852,22.77923684,22.88198276,93170016,0,1
AAPL,2016-06-07 00:00:00+00:00,99.03,99.87,98.96,99.25,22409450,23.12483674,23.32098804,23.1084908,23.1762097,89637800,0,1
AAPL,2016-06-08 00:00:00+00:00,98.94,99.56,98.68,99.02,20848131,23.10382053,23.24859887,23.04310704,23.12250161,83392524,0,1
AAPL,2016-06-09 00:00:00+00:00,99.65,99.99,98.46,98.5,26601354,23.26961508,23.34900965,22.99173408,23.00107462,106405416,0,1
AAPL,2016-06-10 00:00:00+00:00,98.83,99.3457,98.48,98.53,31712936,23.07813405,23.19855694,22.99640435,23.00808002,126851744,0,1
AAPL,2016-06-13 00:00:00+00:00,97.34,99.12,97.1,98.69,38020494,22.73019902,23.14585295,22.67415579,23.04544217,152081976,0,1
AAPL,2016-06-14 00:00:00+00:00,97.46,98.475,96.75,97.32,31931944,22.75822063,22.99523678,22.59242608,22.72552875,127727776,0,1
AAPL,2016-06-15 00:00:00+00:00,97.14,98.41,97.03,97.82,29445227,22.68349633,22.9800584,22.65780985,22.84228547,117780908,0,1
AAPL,2016-06-16 00:00:00+00:00,97.55,97.75,96.07,96.45,31326815,22.77923684,22.82593953,22.43363694,22.52237205,125307260,0,1
AAPL,2016-06-17 00:00:00+00:00,95.33,96.65,95.3,96.62,61008219,22.26083699,22.56907474,22.25383158,22.56206933,244032876,0,1
AAPL,2016-06-20 00:00:00+00:00,95.1,96.57,95.03,96,34411901,22.20712889,22.55039366,22.19078295,22.417291,137647604,0,1
AAPL,2016-06-21 00:00:00+00:00,95.91,96.35,94.676,94.94,35546358,22.39627479,22.4990207,22.10811919,22.16976674,142185432,0,1
AAPL,2016-06-22 00:00:00+00:00,95.55,96.89,95.35,96.25,29219122,22.31220994,22.62511796,22.26550725,22.47566936,116876488,0,1
AAPL,2016-06-23 00:00:00+00:00,96.1,96.29,95.25,95.94,32240187,22.44064234,22.4850099,22.24215591,22.40328019,128960748,0,1
AAPL,2016-06-24 00:00:00+00:00,93.4,94.655,92.65,92.91,75311356,21.81015603,22.10321541,21.63502095,21.69573444,301245424,0,1
AAPL,2016-06-27 00:00:00+00:00,92.04,93.05,91.5,93,46622188,21.49257774,21.72842632,21.36648048,21.71675065,186488752,0,1
AAPL,2016-06-28 00:00:00+00:00,93.59,93.66,92.14,92.9,40444914,21.85452359,21.87086953,21.51592909,21.69339931,161779656,0,1
AAPL,2016-06-29 00:00:00+00:00,94.4,94.55,93.63,93.97,36531006,22.04366948,22.0786965,21.86386412,21.9432587,146124024,0,1
AAPL,2016-06-30 00:00:00+00:00,95.6,95.77,94.3,94.44,35836356,22.32388562,22.3635829,22.02031813,22.05301002,143345424,0,1
AAPL,2016-07-01 00:00:00+00:00,95.89,96.465,95.33,95.49,26026540,22.39160452,22.52587475,22.26083699,22.29819914,104106160,0,1
AAPL,2016-07-05 00:00:00+00:00,94.99,95.4,94.46,95.39,27705210,22.18144241,22.27718293,22.05768029,22.27484779,110820840,0,1
AAPL,2016-07-06 00:00:00+00:00,95.53,95.66,94.37,94.6,30949090,22.30753968,22.33789642,22.03666408,22.09037217,123796360,0,1
